gene,target,NDE,NDE_p,NIE,NIE_p,prop_med
SEC13,SEC13,16.623893321339295,0.0016432405846507276,0.7452938009245009,0.214715300025902,0.042908962617437894
GPC1,Glypican 1,16.527749383322508,0.001618229602663863,0.517460838583066,0.2148042854740977,0.030358137673072143
C1RL,C1RL1,16.581703305045757,0.001647093421642043,0.508743177943887,0.21561903356581863,0.02976769380778004
ELANE,Elastase,16.746266114060102,0.0014990800000152218,0.5099962600787314,0.23019883954934994,0.029554271314455635
DRGX,DRGX,18.032542606227562,5.196784918257279e-4,-0.6897171500044846,0.24297969208541903,-0.03976959531452791
MUL1,MUL1,18.185572377484146,8.092346693838571e-4,-0.5340754696484978,0.24439996948488144,-0.030256667320459223
TFPI2,TFPI -2,15.919378185332636,0.0031318521509327286,0.6404539458629261,0.24460737761189977,0.03867514723512403
OMD,OMD,17.824855700110298,7.087732972449393e-4,-0.5177600493882502,0.24704302709876166,-0.02991605638734939
INSR,IR,15.961474358310484,0.003094486866925947,0.7726688854426976,0.25646881979449465,0.04617319657109624
NRBP1,NRBP,16.374395633483175,0.002011248945623746,0.533470057548256,0.27003787470548657,0.03155159067955151
MRPL34,RM34,18.12435416390709,7.26552478177538e-4,-0.3899641736679623,0.2701069163853531,-0.02198915067744623
NTNG1,NTNG1,16.1851006140244,0.002279783029824333,0.8092106940453441,0.27063409772913644,0.047616562941335
GIMAP6,GIMA6,16.513517994196075,0.0019113903199089934,0.5578599519404907,0.274974694910007,0.03267808572340467
FABP12,FBP12,16.15936236236467,0.002126819675355853,0.46605604991049293,0.2876717167609843,0.02803274109278275
SLCO5A1,SO5A1,15.866703609512845,0.0035111068822055755,0.5209092365417961,0.2902500363775266,0.03178676732451648
CA8,Carbonic Anhydrase VIII,16.494142964775463,0.0017446037260753736,0.5054476629994415,0.2908549455254271,0.02973293146092661
KAL1,KALM,16.364263146859376,0.001880599737029524,0.37181383032741966,0.29651476845216374,0.022216307372046915
RAMP1,RAMP1,17.852747826187926,7.855895574679522e-4,-0.5820650658959252,0.3006587348840199,-0.03370249306148937
OLFM3,NOE3,16.162152619878704,0.0020649318805814752,0.5886225343369469,0.3045252887002863,0.03514001763606796
CALB2,CALB2,16.258588459986395,0.0023628169963066277,0.660862270413959,0.30557300680986316,0.039059321779668754
CNTN4,Contactin-4,16.610617843412037,0.001584708492897514,0.5387724795023271,0.3083402225585179,0.03141642177112499
PDLIM4,PDLI4,17.670521133759404,8.682443263167633e-4,-0.32955288222329165,0.30911016334431674,-0.019004295345163263
COX7A2L,COX7R,17.796483247746764,7.508914006313116e-4,-0.5281545752937549,0.31042795754591374,-0.030585158836841226
SERPINA4,Kallistatin,16.74220875851182,0.001550770118781304,0.3571582176025936,0.3154190034845208,0.020887218696545733
IL1R2,IL-1 sRII,16.437441849134483,0.002430669761254113,0.46400124438089024,0.3155936437710287,0.027453350688079116
KIR2DL5A,KI2LA,17.493101513201548,9.947365026213475e-4,-0.32883458172112456,0.31732061957673585,-0.01915809064458324
S100A10,Calpactin I light chain,16.73063221863404,0.0021556442780606166,0.38091375417219103,0.3194541489554411,0.022260627694162843
CHST11,CHSTB,16.521412396352492,0.001646242523056401,0.439833392815059,0.3213390225995095,0.02593166789057219
SPINK5,SPINK5,16.60010606676387,0.0018428801801053298,0.3147955777524362,0.3221593777480894,0.018610547336791093
LRRTM4,LRRT4,16.43693095986857,0.0017474933113022298,0.5764266998607305,0.32596798862262105,0.03388083124973828
EHF,EHF,16.377471320855577,0.001979409906750933,0.387353972675321,0.32963868789612133,0.023105160113108404
ABCC6,MRP6,16.77961082675189,0.0016208880296729707,0.343413618627036,0.33533737864235347,0.020055663631299358
RNASE4,RNAS4,16.02633045600817,0.0027400515833648584,0.6245953740744697,0.3392268325484419,0.03751114985726711
CCL25,TECK,16.93607098745589,0.001369665593194372,0.3949654444102639,0.343555886987857,0.022789487862598372
