gene,target,full_name,beta,se,t_stat,p_value,FDR
SLCO5A1,SO5A1,Solute carrier organic anion transporter family member 5A1,0.14880326221498716,0.03984872406170573,3.7342039354777175,1.965967295735182e-4,0.0543808398081415
CRISPLD2,CRLD2,Cysteine-rich secretory protein LCCL domain-containing 2,0.3172268161076997,0.08466040434880542,3.747050566882579,1.8690407254642178e-4,0.0543808398081415
PZP,Pregnancy zone protein,Pregnancy zone protein,0.5274730552065964,0.14042504909419798,3.7562604293822552,1.8023405190219655e-4,0.0543808398081415
PRSS8,Prostasin,Prostasin,-0.0916805730867596,0.025129361748453163,-3.648344673632747,2.745636948769776e-4,0.054682105471698855
TNFRSF17,BCMA,Tumor necrosis factor receptor superfamily member 17,-0.09666069205014102,0.026363082144483636,-3.666517121192025,2.559667608146659e-4,0.054682105471698855
FAP,SEPR,Prolyl endopeptidase FAP,-0.10017720518636117,0.02714793247831176,-3.6900491507554705,2.336391593487136e-4,0.054682105471698855
TNNI2,"Troponin I, skeletal, fast twitch","Troponin I, fast skeletal muscle",0.21755443166327948,0.05913602782832871,3.678881379974282,2.439969200120765e-4,0.054682105471698855
SPINK9,ISK9,Serine protease inhibitor Kazal-type 9,-0.15082474225834977,0.0411567655016174,-3.6646403190363097,2.578311759710719e-4,0.054682105471698855
NEO1,NEO1,Neogenin,-0.06331721446879872,0.017143722551759246,-3.6933177305941216,2.306866968177927e-4,0.054682105471698855
IGDCC4,IGDC4,Immunoglobulin superfamily DCC subclass member 4,-0.10031714672852184,0.027442878562189525,-3.65548921922271,2.671059222300436e-4,0.054682105471698855
CCL14,HCC-1,C-C motif chemokine 14,0.1302159347435653,0.036329753579980396,3.5842779515939553,3.507366309649199e-4,0.06716606482978216
PRTN3,Proteinase-3,Myeloblastin,0.13408421190502606,0.03774720623980629,3.5521625376245103,3.959796199065348e-4,0.0730215750931347
ACE,ACE,Angiotensin-converting enzyme,-0.14661324961955774,0.043043139521925136,-3.406193210996528,6.792110269233468e-4,0.1057775921345522
CD93,C1QR1,Complement component C1q receptor,-0.06492974272204775,0.019116022522943324,-3.396613633621646,7.032143018578239e-4,0.1057775921345522
NDUFA5,NDUA5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,0.12585779379873385,0.03713492169498411,3.389203155792132,7.223213762953957e-4,0.1057775921345522
ACY1,Aminoacylase-1,Aminoacylase-1,-0.18984799551683995,0.05548943664866365,-3.4213357889877236,6.428188835024412e-4,0.1057775921345522
