gene,target,beta,se,ci_lower,ci_upper,p_value
SMYD2,SMYD2,0.09566664993161031,0.02096564356606793,0.054417256560491054,0.13691604330272955,7.2190696469683825e-6
PDK2,PDK2,0.017111559198831176,0.01665645273507177,-0.01565960610650789,0.04988272450417024,0.3050515795231624
NAPB,SNAB,-0.035257585361355995,0.022675767711283597,-0.07987160636039213,0.009356435637680141,0.1209778039881922
DPYSL5,DPYL5,0.014138452764658813,0.017994422834518232,-0.021265136142509786,0.04954204167182741,0.432622497272535
ZNF175,ZN175,-0.00545124138452585,0.051218074693887276,-0.1062215565957827,0.095319073826731,0.9153069376118488
CSDC2,CSDC2,0.007291619575132891,0.0188762867345411,-0.029847015089023883,0.04443025423928967,0.6995450166558211
BACH2,BACH2,-0.0038747096846321236,0.01681733789878632,-0.036962412633317336,0.029212993264053088,0.8179298047304586
PPP1R3B,PPR3B,0.008341653632212778,0.009311468537858063,-0.009978434056511757,0.026661741320937314,0.37101409972770116
NUP98,NUP98,-0.02525124813599411,0.0122720766158919,-0.04939626015120976,-0.0011062361207784602,0.040444297447432324
APBB3,APBB3,-0.02502767918154489,0.014153458520106998,-0.05287426429675715,0.0028189059336673657,0.07797112031794708
ARHGAP30,RHG30,-0.05199856920024796,0.03583376936244534,-0.1225006381562303,0.01850349975573439,0.14773940941845512
RNPC3,RBM40,0.004236144317488436,0.019235748611062132,-0.03360972283871235,0.04208201147368922,0.8258396434475969
PYDC1,PYDC1,-0.03235150229849861,0.019825621205235382,-0.0713579294250728,0.006654924828075573,0.1037140279909347
TMEM237,TM237,0.033622653001062,0.021527645666302272,-0.008732465822028634,0.07597777182415263,0.11932435017054177
ARPP21,cAMP-regulated phosphoprotein 21,-0.07399856511715437,0.024959543125250658,-0.12310585865157234,-0.0248912715827364,0.0032591454914158023
NR1D2,NR1D2,-0.015222311727354481,0.021157210708759585,-0.056848608788597446,0.02640398533388848,0.47237175839466383
MICALL2,MILK2,0.03580197266607554,0.02535860783067802,-0.014090470962248677,0.08569441629439976,0.1589816670049931
PAXIP1,PAXI1,-0.014641893333076078,0.024425176046994828,-0.06269783264857444,0.03341404598242228,0.5492949950851219
NR3C2,MCR,0.009282636731352252,0.006287153788383735,-0.003087185305568044,0.02165245876827255,0.1408171386435106
UQCRB,UCR6,0.02152813667366699,0.01786188069551229,-0.01361467880134452,0.0566709521486785,0.22900347220123396
KRT20,Keratin 20,-0.016824199721229137,0.014366720897196936,-0.04509037337213893,0.011441973929680653,0.24245675474060496
SECTM1,SECTM1,0.004885270259204324,0.02668211122299824,-0.04761113407682674,0.05738167459523538,0.8548431970137881
