source,pathway,pathway_clean,NES,padj,size
KEGG,KEGG_TYPE_I_DIABETES_MELLITUS,TYPE I DIABETES MELLITUS,-1.0852507110373748,0.9164107308048104,19
KEGG,KEGG_JAK_STAT_SIGNALING_PATHWAY,JAK STAT SIGNALING PATHWAY,1.04842881014451,0.9699396471680594,112
KEGG,KEGG_HUNTINGTONS_DISEASE,HUNTINGTONS DISEASE,1.0300954578671153,0.9787895502181216,42
KEGG,KEGG_ACUTE_MYELOID_LEUKEMIA,ACUTE MYELOID LEUKEMIA,-0.6882060875384345,1,29
KEGG,KEGG_ADHERENS_JUNCTION,ADHERENS JUNCTION,-0.5383156621664498,1,38
KEGG,KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,ADIPOCYTOKINE SIGNALING PATHWAY,-0.7604157425017308,1,29
KEGG,KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,ALDOSTERONE REGULATED SODIUM REABSORPTION,-0.8985816428438772,1,17
KEGG,KEGG_ALLOGRAFT_REJECTION,ALLOGRAFT REJECTION,-0.9287000195306723,1,16
KEGG,KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,AMYOTROPHIC LATERAL SCLEROSIS ALS,-0.762367487160378,1,29
KEGG,KEGG_ARACHIDONIC_ACID_METABOLISM,ARACHIDONIC ACID METABOLISM,0.9628445855319478,1,22
KEGG,KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY ARVC,-0.8702050791811714,1,19
KEGG,KEGG_AUTOIMMUNE_THYROID_DISEASE,AUTOIMMUNE THYROID DISEASE,0.9654521139714265,1,28
KEGG,KEGG_BASAL_CELL_CARCINOMA,BASAL CELL CARCINOMA,-0.660412831682276,1,15
KEGG,KEGG_BLADDER_CANCER,BLADDER CANCER,-0.6373975959064012,1,31
KEGG,KEGG_CALCIUM_SIGNALING_PATHWAY,CALCIUM SIGNALING PATHWAY,-0.649661925117927,1,35
KEGG,KEGG_CARDIAC_MUSCLE_CONTRACTION,CARDIAC MUSCLE CONTRACTION,0.9154333063847576,1,20
KEGG,KEGG_CELL_CYCLE,CELL CYCLE,0.877724067276228,1,48
KEGG,KEGG_CHRONIC_MYELOID_LEUKEMIA,CHRONIC MYELOID LEUKEMIA,-0.5630018758034748,1,43
KEGG,KEGG_COLORECTAL_CANCER,COLORECTAL CANCER,-0.6523934116530368,1,37
KEGG,KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,CYTOSOLIC DNA SENSING PATHWAY,0.5674588828876405,1,24
KEGG,KEGG_DILATED_CARDIOMYOPATHY,DILATED CARDIOMYOPATHY,1.0332750051349564,1,23
KEGG,KEGG_DRUG_METABOLISM_OTHER_ENZYMES,DRUG METABOLISM OTHER ENZYMES,-0.798553075700212,1,20
KEGG,KEGG_ENDOCYTOSIS,ENDOCYTOSIS,-0.7240310588155754,1,81
KEGG,KEGG_ENDOMETRIAL_CANCER,ENDOMETRIAL CANCER,-1.0249884869126604,1,31
KEGG,KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,EPITHELIAL CELL SIGNALING IN HELICOBACTER PYLORI INFECTION,0.6671484573449832,1,31
KEGG,KEGG_ERBB_SIGNALING_PATHWAY,ERBB SIGNALING PATHWAY,-0.820398549442959,1,65
KEGG,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,FC EPSILON RI SIGNALING PATHWAY,0.6639125979916285,1,54
KEGG,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,FC GAMMA R MEDIATED PHAGOCYTOSIS,-0.9088826879028384,1,46
KEGG,KEGG_FOCAL_ADHESION,FOCAL ADHESION,-0.9912754437447168,1,113
KEGG,KEGG_GAP_JUNCTION,GAP JUNCTION,-0.8028668742206964,1,32
KEGG,KEGG_GLIOMA,GLIOMA,-0.7074301907102751,1,40
KEGG,KEGG_GNRH_SIGNALING_PATHWAY,GNRH SIGNALING PATHWAY,0.6941153499611901,1,50
KEGG,KEGG_GRAFT_VERSUS_HOST_DISEASE,GRAFT VERSUS HOST DISEASE,0.905403451835608,1,21
KEGG,KEGG_HEMATOPOIETIC_CELL_LINEAGE,HEMATOPOIETIC CELL LINEAGE,-0.9181893491301221,1,62
KEGG,KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,HYPERTROPHIC CARDIOMYOPATHY HCM,-0.9564125562706095,1,23
KEGG,KEGG_INOSITOL_PHOSPHATE_METABOLISM,INOSITOL PHOSPHATE METABOLISM,0.9907853117935833,1,18
KEGG,KEGG_INSULIN_SIGNALING_PATHWAY,INSULIN SIGNALING PATHWAY,-0.5851587421130108,1,56
KEGG,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION,-0.8607402031414384,1,26
KEGG,KEGG_LEISHMANIA_INFECTION,LEISHMANIA INFECTION,0.8801252462989808,1,44
KEGG,KEGG_LONG_TERM_DEPRESSION,LONG TERM DEPRESSION,-0.7762906652094067,1,31
KEGG,KEGG_LONG_TERM_POTENTIATION,LONG TERM POTENTIATION,-0.847881750108346,1,27
KEGG,KEGG_MAPK_SIGNALING_PATHWAY,MAPK SIGNALING PATHWAY,-0.8858796271486429,1,138
KEGG,KEGG_MELANOGENESIS,MELANOGENESIS,0.7460493669764453,1,35
KEGG,KEGG_MELANOMA,MELANOMA,0.7986905094743366,1,52
KEGG,KEGG_MTOR_SIGNALING_PATHWAY,MTOR SIGNALING PATHWAY,-0.8121259774959259,1,27
KEGG,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,NATURAL KILLER CELL MEDIATED CYTOTOXICITY,0.7618556158598764,1,100
KEGG,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,NEUROTROPHIN SIGNALING PATHWAY,-0.9922919351540301,1,75
KEGG,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,NOD LIKE RECEPTOR SIGNALING PATHWAY,-0.8149458207852682,1,39
KEGG,KEGG_NON_SMALL_CELL_LUNG_CANCER,NON SMALL CELL LUNG CANCER,-0.7597744209782049,1,30
KEGG,KEGG_OOCYTE_MEIOSIS,OOCYTE MEIOSIS,-0.6859062584031286,1,39
KEGG,KEGG_OXIDATIVE_PHOSPHORYLATION,OXIDATIVE PHOSPHORYLATION,0.784149493683942,1,16
KEGG,KEGG_PANCREATIC_CANCER,PANCREATIC CANCER,-0.48070406881378314,1,42
KEGG,KEGG_PARKINSONS_DISEASE,PARKINSONS DISEASE,-0.7771236150986875,1,28
KEGG,KEGG_PATHWAYS_IN_CANCER,PATHWAYS IN CANCER,0.7404806766155667,1,167
KEGG,KEGG_PENTOSE_PHOSPHATE_PATHWAY,PENTOSE PHOSPHATE PATHWAY,-0.9977804375156125,1,20
